Image_IDs,Visible_Percent,Ground_Control,Satellite_Azimuth,Date,Time_UTC
20210429_184909_01_2414,100,TRUE,278,4/29/2021,49:09.0
20210429_184911_30_2414,100,TRUE,277.9,4/29/2021,49:11.3
20210430_175646_93_2436,100,TRUE,276.1,4/30/2021,56:46.9
20210430_175649_41_2436,100,TRUE,276.1,4/30/2021,56:49.4
20210430_180237_64_2262,100,TRUE,100.6,4/30/2021,02:37.6
20210430_180239_93_2262,100,TRUE,100.5,4/30/2021,02:39.9
20210430_182339_1040,100,TRUE,269.4,4/30/2021,23:39.3
20210430_182340_1040,100,TRUE,269.4,4/30/2021,23:40.3
20210501_181350_27_1065,78,TRUE,83.1,5/1/2021,13:50.3
20210501_182000_103c,84,TRUE,101.8,5/1/2021,20:00.5
20210502_180413_0e0f,100,TRUE,177.7,5/2/2021,04:13.9
20210502_180414_0e0f,100,TRUE,177.7,5/2/2021,04:14.9
20210502_182247_1009,100,TRUE,274.1,5/2/2021,22:47.9
20210502_182248_1009,100,TRUE,274,5/2/2021,22:48.9
20210503_182246_0f4e,100,TRUE,100.5,5/3/2021,22:46.7
20210503_182247_0f4e,100,TRUE,100.5,5/3/2021,22:47.7
20210503_184314_53_2403,100,TRUE,100.6,5/3/2021,43:14.5
20210504_175733_58_2235,100,TRUE,274.3,5/4/2021,57:33.6
20210504_175735_65_2235,100,TRUE,274.4,5/4/2021,57:35.7
20210505_184530_41_2405,100,TRUE,101.1,5/5/2021,45:30.4
20210505_184532_70_2405,100,TRUE,101,5/5/2021,45:32.7
20210506_175455_52_2460,100,TRUE,102.1,5/6/2021,54:55.5
20210506_175457_86_2460,100,TRUE,102.1,5/6/2021,54:57.9
20210507_175847_36_242a,100,TRUE,277.7,5/7/2021,58:47.4
20210507_175849_84_242a,94,TRUE,277.7,5/7/2021,58:49.8
20210508_153042_104a,100,TRUE,87,5/8/2021,30:42.2
20210508_153043_104a,100,TRUE,86.7,5/8/2021,30:43.1
20210508_175604_46_2449,100,TRUE,107.7,5/8/2021,56:04.5
